SGD_w_Momentum optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=43, Epoch=5, minibatch=2, loss=0.06433, Wa=2.2069, Wb=0.9692, unitvecWa=-0.11445, unitvecWb=-0.99343, eff_stepsize=0.01089, dWa=0.01504, dWb=-0.18871, VdWa=-0.12458, VdWb=-1.08139, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=44, Epoch=5, minibatch=3, loss=0.05153, Wa=2.2082, Wb=0.9800, unitvecWa=-0.08541, unitvecWb=-0.99635, eff_stepsize=0.01181, dWa=0.01125, dWb=-0.20358, VdWa=-0.10088, VdWb=-1.17683, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=45, Epoch=5, minibatch=4, loss=0.03172, Wa=2.2092, Wb=0.9918, unitvecWa=-0.07022, unitvecWb=-0.99753, eff_stepsize=0.01182, dWa=0.00781, dWb=-0.11957, VdWa=-0.08298, VdWb=-1.17872, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=46, Epoch=5, minibatch=5, loss=0.04709, Wa=2.2100, Wb=1.0036, unitvecWa=-0.04907, unitvecWb=-0.99880, eff_stepsize=0.01118, dWa=0.01982, dWb=-0.05591, VdWa=-0.05486, VdWb=-1.11676, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=47, Epoch=5, minibatch=6, loss=0.06258, Wa=2.2106, Wb=1.0147, unitvecWa=-0.02038, unitvecWb=-0.99979, eff_stepsize=0.01015, dWa=0.02869, dWb=-0.00988, VdWa=-0.02069, VdWb=-1.01496, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=48, Epoch=5, minibatch=7, loss=0.05775, Wa=2.2108, Wb=1.0249, unitvecWa=0.01621, unitvecWb=-0.99987, eff_stepsize=0.00856, dWa=0.03249, dWb=0.05803, VdWa=0.01387, VdWb=-0.85544, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=49, Epoch=6, minibatch=0, loss=0.04005, Wa=2.2106, Wb=1.0334, unitvecWa=0.02835, unitvecWb=-0.99960, eff_stepsize=0.00904, dWa=0.01313, dWb=-0.13342, VdWa=0.02562, VdWb=-0.90331, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=50, Epoch=6, minibatch=1, loss=0.04369, Wa=2.2104, Wb=1.0425, unitvecWa=0.06478, unitvecWb=-0.99790, eff_stepsize=0.00764, dWa=0.02647, dWb=0.05013, VdWa=0.04952, VdWb=-0.76285, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=51, Epoch=6, minibatch=2, loss=0.06442, Wa=2.2099, Wb=1.0501, unitvecWa=0.13553, unitvecWb=-0.99077, eff_stepsize=0.00600, dWa=0.03669, dWb=0.09254, VdWa=0.08126, VdWb=-0.59403, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=52, Epoch=6, minibatch=3, loss=0.05555, Wa=2.2091, Wb=1.0560, unitvecWa=0.20176, unitvecWb=-0.97944, eff_stepsize=0.00504, dWa=0.02852, dWb=0.04113, VdWa=0.10166, VdWb=-0.49350, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=53, Epoch=6, minibatch=4, loss=0.06408, Wa=2.2081, Wb=1.0610, unitvecWa=0.36063, unitvecWb=-0.93271, eff_stepsize=0.00359, dWa=0.03800, dWb=0.10923, VdWa=0.12949, VdWb=-0.33491, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=54, Epoch=6, minibatch=5, loss=0.06763, Wa=2.2068, Wb=1.0643, unitvecWa=0.55322, unitvecWb=-0.83304, eff_stepsize=0.00275, dWa=0.03532, dWb=0.07275, VdWa=0.15186, VdWb=-0.22867, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=55, Epoch=6, minibatch=6, loss=0.03846, Wa=2.2053, Wb=1.0666, unitvecWa=0.58884, unitvecWb=-0.80825, eff_stepsize=0.00266, dWa=0.01984, dWb=-0.00904, VdWa=0.15652, VdWb=-0.21484, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
