SGD optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=53, Epoch=6, minibatch=4, loss=0.08232, Wa=0.9533, Wb=1.5911, unitvecWa=-0.97569, unitvecWb=0.21918, eff_stepsize=0.01307, dWa=-1.27556, dWb=0.28654, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=54, Epoch=6, minibatch=5, loss=0.07474, Wa=0.9661, Wb=1.5883, unitvecWa=-0.64436, unitvecWb=0.76472, eff_stepsize=0.00477, dWa=-0.30705, dWb=0.36441, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=55, Epoch=6, minibatch=6, loss=0.06707, Wa=0.9691, Wb=1.5846, unitvecWa=-0.66699, unitvecWb=0.74507, eff_stepsize=0.00438, dWa=-0.29227, dWb=0.32649, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=56, Epoch=6, minibatch=7, loss=0.07144, Wa=0.9720, Wb=1.5814, unitvecWa=-0.75859, unitvecWb=0.65157, eff_stepsize=0.00511, dWa=-0.38798, dWb=0.33325, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=57, Epoch=7, minibatch=0, loss=0.07842, Wa=0.9759, Wb=1.5780, unitvecWa=-0.74719, unitvecWb=0.66461, eff_stepsize=0.00554, dWa=-0.41369, dWb=0.36796, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=58, Epoch=7, minibatch=1, loss=0.06425, Wa=0.9801, Wb=1.5744, unitvecWa=-0.40250, unitvecWb=0.91542, eff_stepsize=0.00365, dWa=-0.14709, dWb=0.33454, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=59, Epoch=7, minibatch=2, loss=0.06407, Wa=0.9815, Wb=1.5710, unitvecWa=-0.83488, unitvecWb=0.55044, eff_stepsize=0.00512, dWa=-0.42787, dWb=0.28210, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=60, Epoch=7, minibatch=3, loss=0.05929, Wa=0.9858, Wb=1.5682, unitvecWa=0.21424, unitvecWb=0.97678, eff_stepsize=0.00395, dWa=0.08471, dWb=0.38622, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=61, Epoch=7, minibatch=4, loss=0.07217, Wa=0.9850, Wb=1.5643, unitvecWa=-0.98389, unitvecWb=0.17875, eff_stepsize=0.01202, dWa=-1.18259, dWb=0.21485, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=62, Epoch=7, minibatch=5, loss=0.06745, Wa=0.9968, Wb=1.5622, unitvecWa=-0.74432, unitvecWb=0.66782, eff_stepsize=0.00495, dWa=-0.36840, dWb=0.33054, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=63, Epoch=7, minibatch=6, loss=0.06065, Wa=1.0005, Wb=1.5589, unitvecWa=-0.52596, unitvecWb=0.85051, eff_stepsize=0.00376, dWa=-0.19793, dWb=0.32006, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=64, Epoch=7, minibatch=7, loss=0.06905, Wa=1.0025, Wb=1.5557, unitvecWa=-0.95890, unitvecWb=0.28375, eff_stepsize=0.01010, dWa=-0.96821, dWb=0.28650, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=65, Epoch=8, minibatch=0, loss=0.05919, Wa=1.0121, Wb=1.5528, unitvecWa=-0.85030, unitvecWb=0.52629, eff_stepsize=0.00515, dWa=-0.43779, dWb=0.27097, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=66, Epoch=8, minibatch=1, loss=0.05969, Wa=1.0165, Wb=1.5501, unitvecWa=-0.95330, unitvecWb=0.30202, eff_stepsize=0.00911, dWa=-0.86869, dWb=0.27521, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=67, Epoch=8, minibatch=2, loss=0.07000, Wa=1.0252, Wb=1.5474, unitvecWa=-0.89006, unitvecWb=0.45585, eff_stepsize=0.00687, dWa=-0.61150, dWb=0.31318, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=68, Epoch=8, minibatch=3, loss=0.05735, Wa=1.0313, Wb=1.5442, unitvecWa=-0.47654, unitvecWb=0.87915, eff_stepsize=0.00372, dWa=-0.17713, dWb=0.32679, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=69, Epoch=8, minibatch=4, loss=0.06310, Wa=1.0331, Wb=1.5410, unitvecWa=-0.96365, unitvecWb=0.26719, eff_stepsize=0.00927, dWa=-0.89308, dWb=0.24762, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=70, Epoch=8, minibatch=5, loss=0.06424, Wa=1.0420, Wb=1.5385, unitvecWa=-0.79548, unitvecWb=0.60598, eff_stepsize=0.00560, dWa=-0.44571, dWb=0.33953, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=71, Epoch=8, minibatch=6, loss=0.05390, Wa=1.0465, Wb=1.5351, unitvecWa=-0.52272, unitvecWb=0.85251, eff_stepsize=0.00397, dWa=-0.20760, dWb=0.33858, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=72, Epoch=8, minibatch=7, loss=0.04371, Wa=1.0486, Wb=1.5317, unitvecWa=-0.35892, unitvecWb=0.93337, eff_stepsize=0.00295, dWa=-0.10594, dWb=0.27549, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=73, Epoch=9, minibatch=0, loss=0.04144, Wa=1.0496, Wb=1.5289, unitvecWa=-0.15048, unitvecWb=0.98861, eff_stepsize=0.00268, dWa=-0.04037, dWb=0.26522, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=74, Epoch=9, minibatch=1, loss=0.05214, Wa=1.0500, Wb=1.5263, unitvecWa=-0.02848, unitvecWb=0.99959, eff_stepsize=0.00349, dWa=-0.00993, dWb=0.34864, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=75, Epoch=9, minibatch=2, loss=0.05091, Wa=1.0501, Wb=1.5228, unitvecWa=-0.98234, unitvecWb=0.18709, eff_stepsize=0.01324, dWa=-1.30087, dWb=0.24776, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=76, Epoch=9, minibatch=3, loss=0.04966, Wa=1.0631, Wb=1.5203, unitvecWa=-0.92655, unitvecWb=0.37618, eff_stepsize=0.00636, dWa=-0.58915, dWb=0.23919, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=77, Epoch=9, minibatch=4, loss=0.04907, Wa=1.0690, Wb=1.5179, unitvecWa=-0.64108, unitvecWb=0.76747, eff_stepsize=0.00378, dWa=-0.24258, dWb=0.29041, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=78, Epoch=9, minibatch=5, loss=0.04616, Wa=1.0714, Wb=1.5150, unitvecWa=-0.68251, unitvecWb=0.73087, eff_stepsize=0.00363, dWa=-0.24807, dWb=0.26565, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=79, Epoch=9, minibatch=6, loss=0.05815, Wa=1.0739, Wb=1.5124, unitvecWa=-0.78605, unitvecWb=0.61817, eff_stepsize=0.00515, dWa=-0.40506, dWb=0.31855, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=80, Epoch=9, minibatch=7, loss=0.04387, Wa=1.0780, Wb=1.5092, unitvecWa=-0.80224, unitvecWb=0.59701, eff_stepsize=0.00451, dWa=-0.36213, dWb=0.26949, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=81, Epoch=10, minibatch=0, loss=0.03951, Wa=1.0816, Wb=1.5065, unitvecWa=-0.46680, unitvecWb=0.88436, eff_stepsize=0.00284, dWa=-0.13258, dWb=0.25117, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=82, Epoch=10, minibatch=1, loss=0.04509, Wa=1.0829, Wb=1.5040, unitvecWa=-0.87548, unitvecWb=0.48326, eff_stepsize=0.00522, dWa=-0.45683, dWb=0.25217, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=83, Epoch=10, minibatch=2, loss=0.04171, Wa=1.0875, Wb=1.5015, unitvecWa=-0.61881, unitvecWb=0.78554, eff_stepsize=0.00347, dWa=-0.21501, dWb=0.27294, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
