Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=1.0
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[]
updates=44, Epoch=5, minibatch=3, loss=0.03109, Wa=1.7583, Wb=1.0556, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.02739, dWb=-0.12637, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=45, Epoch=5, minibatch=4, loss=0.01977, Wa=1.7574, Wb=1.0580, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.01906, dWb=-0.07313, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=46, Epoch=5, minibatch=5, loss=0.03111, Wa=1.7565, Wb=1.0655, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04275, dWb=-0.03011, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=47, Epoch=5, minibatch=6, loss=0.04316, Wa=1.7554, Wb=1.0745, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.06144, dWb=0.00514, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=48, Epoch=5, minibatch=7, loss=0.03938, Wa=1.7538, Wb=1.0823, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.06705, dWb=0.05257, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=49, Epoch=6, minibatch=0, loss=0.02528, Wa=1.7519, Wb=1.0854, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.02738, dWb=-0.09658, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=50, Epoch=6, minibatch=1, loss=0.02870, Wa=1.7498, Wb=1.0956, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.05344, dWb=0.04488, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=51, Epoch=6, minibatch=2, loss=0.04407, Wa=1.7476, Wb=1.1013, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.07565, dWb=0.07388, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=52, Epoch=6, minibatch=3, loss=0.03808, Wa=1.7449, Wb=1.1009, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.05763, dWb=0.02749, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=53, Epoch=6, minibatch=4, loss=0.04232, Wa=1.7419, Wb=1.0984, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.07409, dWb=0.06579, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
