Adam using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=56, Epoch=6, minibatch=7, loss=0.03206, Wa=0.2674, Wb=1.4502, unitvecWa=-0.85935, unitvecWb=0.51139, eff_stepsize=0.00271, dWa=-0.55323, dWb=0.05125, VdWa=-5.66479, VdWb=0.03969, sqrt_SdWa=5.69517, sqrt_SdWb=0.06705
updates=57, Epoch=7, minibatch=0, loss=0.16388, Wa=0.2697, Wb=1.4488, unitvecWa=-0.91868, unitvecWb=0.39500, eff_stepsize=0.00301, dWa=-15.92325, dWb=-0.01982, VdWa=-6.69063, VdWb=0.03374, sqrt_SdWa=5.71455, sqrt_SdWb=0.06701
updates=58, Epoch=7, minibatch=1, loss=0.12777, Wa=0.2725, Wb=1.4476, unitvecWa=-0.94877, unitvecWb=0.31597, eff_stepsize=0.00282, dWa=-3.92207, dWb=-0.05311, VdWa=-6.41378, VdWb=0.02505, sqrt_SdWa=5.71304, sqrt_SdWb=0.06700
updates=59, Epoch=7, minibatch=2, loss=0.23197, Wa=0.2751, Wb=1.4468, unitvecWa=-0.98469, unitvecWb=0.17433, eff_stepsize=0.00315, dWa=-16.36895, dWb=-0.07215, VdWa=-7.40929, VdWb=0.01533, sqrt_SdWa=5.73360, sqrt_SdWb=0.06701
updates=60, Epoch=7, minibatch=3, loss=0.06031, Wa=0.2782, Wb=1.4462, unitvecWa=-0.97054, unitvecWb=0.24093, eff_stepsize=0.00295, dWa=-1.21195, dWb=0.05908, VdWa=-6.78956, VdWb=0.01970, sqrt_SdWa=5.73086, sqrt_SdWb=0.06700
updates=61, Epoch=7, minibatch=4, loss=0.04834, Wa=0.2811, Wb=1.4455, unitvecWa=-0.91067, unitvecWb=0.41312, eff_stepsize=0.00289, dWa=-0.82965, dWb=0.15198, VdWa=-6.19357, VdWb=0.03293, sqrt_SdWa=5.72805, sqrt_SdWb=0.06714
updates=62, Epoch=7, minibatch=5, loss=0.07010, Wa=0.2837, Wb=1.4443, unitvecWa=-0.93166, unitvecWb=0.36332, eff_stepsize=0.00266, dWa=-1.98309, dWb=-0.03252, VdWa=-5.77252, VdWb=0.02639, sqrt_SdWa=5.72553, sqrt_SdWb=0.06711
updates=63, Epoch=7, minibatch=6, loss=0.12378, Wa=0.2862, Wb=1.4433, unitvecWa=-0.94546, unitvecWb=0.32573, eff_stepsize=0.00259, dWa=-4.73325, dWb=-0.00864, VdWa=-5.66859, VdWb=0.02288, sqrt_SdWa=5.72463, sqrt_SdWb=0.06708
updates=64, Epoch=7, minibatch=7, loss=0.08461, Wa=0.2887, Wb=1.4425, unitvecWa=-0.93343, unitvecWb=0.35876, eff_stepsize=0.00248, dWa=-2.15548, dWb=0.03353, VdWa=-5.31728, VdWb=0.02395, sqrt_SdWa=5.72217, sqrt_SdWb=0.06705
updates=65, Epoch=8, minibatch=0, loss=0.17186, Wa=0.2910, Wb=1.4416, unitvecWa=-0.97353, unitvecWb=0.22855, eff_stepsize=0.00255, dWa=-8.84595, dWb=-0.05967, VdWa=-5.67015, VdWb=0.01559, sqrt_SdWa=5.72614, sqrt_SdWb=0.06705
updates=66, Epoch=8, minibatch=1, loss=0.04741, Wa=0.2935, Wb=1.4410, unitvecWa=-0.96204, unitvecWb=0.27292, eff_stepsize=0.00240, dWa=-1.09010, dWb=0.03287, VdWa=-5.21214, VdWb=0.01732, sqrt_SdWa=5.72338, sqrt_SdWb=0.06702
updates=67, Epoch=8, minibatch=2, loss=0.08516, Wa=0.2958, Wb=1.4404, unitvecWa=-0.95133, unitvecWb=0.30818, eff_stepsize=0.00229, dWa=-2.05663, dWb=0.02992, VdWa=-4.89659, VdWb=0.01858, sqrt_SdWa=5.72089, sqrt_SdWb=0.06700
updates=68, Epoch=8, minibatch=3, loss=0.13727, Wa=0.2980, Wb=1.4397, unitvecWa=-0.99349, unitvecWb=0.11388, eff_stepsize=0.00219, dWa=-4.39942, dWb=-0.10207, VdWa=-4.84687, VdWb=0.00651, sqrt_SdWa=5.71972, sqrt_SdWb=0.06704
updates=69, Epoch=8, minibatch=4, loss=0.04305, Wa=0.3001, Wb=1.4394, unitvecWa=-0.99998, unitvecWb=-0.00580, eff_stepsize=0.00202, dWa=-1.02341, dWb=-0.06164, VdWa=-4.46453, VdWb=-0.00030, sqrt_SdWa=5.71695, sqrt_SdWb=0.06703
updates=70, Epoch=8, minibatch=5, loss=0.12593, Wa=0.3021, Wb=1.4394, unitvecWa=-0.99703, unitvecWb=0.07705, eff_stepsize=0.00209, dWa=-5.55360, dWb=0.04416, VdWa=-4.57343, VdWb=0.00414, sqrt_SdWa=5.71679, sqrt_SdWb=0.06702
updates=71, Epoch=8, minibatch=6, loss=0.16741, Wa=0.3042, Wb=1.4393, unitvecWa=-0.99225, unitvecWb=0.12427, eff_stepsize=0.00253, dWa=-13.72471, dWb=0.04308, VdWa=-5.48856, VdWb=0.00804, sqrt_SdWa=5.73039, sqrt_SdWb=0.06700
updates=72, Epoch=8, minibatch=7, loss=0.04414, Wa=0.3067, Wb=1.4389, unitvecWa=-0.97698, unitvecWb=0.21331, eff_stepsize=0.00237, dWa=-0.82407, dWb=0.05591, VdWa=-5.02211, VdWb=0.01282, sqrt_SdWa=5.72759, sqrt_SdWb=0.06699
